Average Wait Times
d-values, q=50, q=100, q=250, q=500
0,250785.125,241948.625,227657.9375,205745.609375
5,282363.0,257936.03125,234463.15625,209407.171875
10,321698.71875,277896.375,242930.390625,214002.3125
15,360967.375,297867.0,251422.546875,218609.546875
20,400047.75,317797.9375,259903.078125,223199.078125
25,438993.625,337701.25,268377.28125,227778.3125

Average Turnaround Times
d-values, q=50, q=100, q=250, q=500
0,251313.640625,242477.03125,228186.484375,206274.0625
5,282891.40625,258464.25,234991.609375,209935.75
10,322226.875,278424.71875,243459.046875,214530.703125
15,361495.5625,298395.3125,251951.078125,219138.0
20,400576.15625,318326.46875,260431.515625,223727.390625
25,439522.03125,338229.375,268905.75,228306.6875
